Name,Season,ID,SP_ERA,predicted_ERA,ERA_dif
Luke Weaver,2023,596133,6.47368593,5.899367809,0.574318121
Trevor Williams,2023,592866,5.549666683,5.349816322,0.199850361
Pablo López,2023,641154,3.664948454,2.933590889,0.731357565
Michael Kopech,2023,656629,5.115776019,4.946658134,0.169117885
Jack Flaherty,2023,656427,5.03064732,4.833418846,0.197228474
Mitch Keller,2023,656605,4.214415624,3.755623341,0.458792283
Cristian Javier,2023,664299,4.555555556,4.012811661,0.542743895
Logan Webb,2023,657277,3.25,2.63713932,0.61286068
Kenta Maeda,2023,628317,4.277227723,3.439872265,0.837355458
Dylan Cease,2023,656302,4.576271186,4.551371574,0.024899612
Freddy Peralta,2023,642547,3.857134923,3.452292442,0.404842481
Sandy Alcantara,2023,645261,4.142591633,3.30146718,0.841124453
Zac Gallen,2023,668678,3.471428571,3.12841177,0.343016801
Dean Kremer,2023,665152,4.117752491,4.1142869,0.003465591
Corbin Burnes,2023,669203,3.392420881,2.557099342,0.835321539
Tony Gonsolin,2023,664062,4.980582524,4.197511673,0.783070851
Dane Dunning,2023,641540,3.551020408,3.097107649,0.453912759
Shane Bieber,2023,669456,3.796875,3.329294443,0.467580557
Aaron Civale,2023,650644,3.457766566,2.806753397,0.651013169
Shohei Ohtani,2023,660271,3.136363636,3.005624056,0.13073958
Griffin Canning,2023,656288,4.2,3.754516602,0.445483398
Tanner Houck,2023,656557,5.009433962,4.550797462,0.4586365
Clarke Schmidt,2023,657376,4.661062664,4.616975307,0.044087357
Tyler Wells,2023,669330,3.975447935,3.405264139,0.570183796
Kutter Crawford,2023,676710,4.513917921,3.921550274,0.592367647
J.P. France,2023,641585,3.92481203,3.852154255,0.072657775
Bailey Ober,2023,641927,3.429569298,2.828354359,0.601214939
Joe Ryan,2023,657746,4.509268845,3.597988129,0.911280716
Jake Irvin,2023,663623,4.611570248,4.361042976,0.250527272
Edward Cabrera,2023,665795,4.450549451,3.944992304,0.505557147
Hunter Greene,2023,668881,4.821428571,4.671703815,0.149724756
Logan Gilbert,2023,669302,3.729014314,3.047475815,0.681538499
Johan Oviedo,2023,670912,4.305807876,4.064710617,0.241097259
Brayan Bello,2023,678394,4.242038217,3.853499889,0.388538328
Grayson Rodriguez,2023,680570,4.352459016,4.076878071,0.275580945
Kyle Bradish,2023,680694,2.828057527,2.459002256,0.369055271
Brady Singer,2023,663903,5.523996561,4.988157272,0.535839289
George Kirby,2023,669923,3.351392611,2.682309389,0.669083222
Ryne Nelson,2023,669194,5.530134105,5.102739811,0.427394294
Bobby Miller,2023,676272,3.764085153,2.794217825,0.969867328
Spencer Strider,2023,675911,3.857135816,3.001910925,0.855224891
Graham Ashcraft,2023,668933,4.757425941,4.072202206,0.685223735
Bryce Elder,2023,693821,3.81296966,3.268682718,0.544286942
Bryce Miller,2023,682243,4.317270086,3.394915819,0.922354267
Tanner Bibee,2023,676440,2.978873239,2.775436163,0.203437076
Clayton Kershaw,2021,477132,3.550675209,3.162789822,0.387885387
Rich Hill,2021,448179,3.758031606,3.52794385,0.230087756
Madison Bumgarner,2021,518516,4.674270566,4.4208951,0.253375466
J.A. Happ,2021,457918,5.789935708,5.283622742,0.506312966
Wade Miley,2021,489119,3.36809816,3.004137993,0.363960167
Patrick Corbin,2021,571578,5.819405923,5.45872879,0.360677133
Mike Minor,2021,501985,5.048308485,4.210011005,0.83829748
Robbie Ray,2021,592662,2.839660178,2.421755791,0.417904387
Tyler Anderson,2021,542881,4.526954277,4.229487419,0.297466858
Eduardo Rodriguez,2021,593958,4.768074735,4.253614426,0.514460309
Steven Matz,2021,571927,3.823000203,3.467468739,0.355531464
Blake Snell,2021,605483,4.196880076,3.856627941,0.340252135
Max Fried,2021,608331,3.042247263,2.498346329,0.543900934
Alex Wood,2021,622072,3.829317512,3.46087575,0.368441762
Hyun Jin Ryu,2021,547943,4.366863905,3.557889462,0.808974443
Julio Urías,2021,628711,2.956906602,2.426239491,0.530667111
Andrew Heaney,2021,571760,5.475,4.763418198,0.711581802
Marco Gonzales,2021,594835,3.955823359,3.557345629,0.39847773
Sean Manaea,2021,640455,3.91450558,3.258063078,0.656442502
Carlos Rodón,2021,607074,2.37436576,2.227472544,0.146893216
Kyle Freeland,2021,607536,4.325954907,3.719455004,0.606499903
John Means,2021,607644,3.620446133,3.100408792,0.520037341
Ryan Yarbrough,2021,642232,5.461538462,5.235447407,0.226091055
Jordan Montgomery,2021,656756,3.83263542,3.261148691,0.571486729
Austin Gomber,2021,596295,4.526024635,4.071315289,0.454709346
Framber Valdez,2021,664285,3.14108116,2.835083008,0.305998152
Cole Irvin,2021,608344,4.239260437,4.084347725,0.154912712
Yusei Kikuchi,2021,579328,4.414012739,4.234485149,0.17952759
Kris Bubic,2021,663460,4.774904269,4.569321156,0.205583113
Shane McClanahan,2021,663556,3.429738994,3.175617933,0.254121061
Tarik Skubal,2021,669373,4.38514041,3.755543709,0.629596701
Trevor Rogers,2021,669432,2.639097744,2.426128387,0.212969357
Patrick Corbin,2022,571578,6.307846182,5.545875549,0.761970633
José Quintana,2022,500779,2.933601047,2.80739069,0.126210357
Robbie Ray,2022,592662,3.714285714,3.573297501,0.140988213
Drew Smyly,2022,592767,3.470230308,3.263029575,0.207200733
Tyler Anderson,2022,542881,2.583979215,2.329725981,0.254253234
Blake Snell,2022,605483,3.375,2.849464893,0.525535107
Max Fried,2022,608331,2.476623259,2.165761232,0.310862027
Alex Wood,2022,622072,5.096925483,4.670116425,0.426809058
Carlos Rodón,2022,607074,2.882022472,2.375151396,0.506871076
Kyle Freeland,2022,607536,4.534342298,4.496622086,0.037720212
Jordan Montgomery,2022,656756,3.482235865,2.852195024,0.630040841
Jeffrey Springs,2022,605488,2.664,2.44511342,0.21888658
Nestor Cortes,2022,641482,2.444215787,2.399684906,0.044530881
Cole Irvin,2022,608344,3.977900552,3.803630114,0.174270438
Eric Lauer,2022,641778,3.686966871,3.64644599,0.040520881
José Suarez,2022,660761,4.133563946,3.526300192,0.607263754
Tarik Skubal,2022,669373,3.518403636,3.383104801,0.135298835
Trevor Rogers,2022,669432,5.46728972,5.275968552,0.191321168
Reid Detmers,2022,672282,3.76744186,3.501240969,0.266200891
Clayton Kershaw,2023,477132,2.460753125,2.114206076,0.346547049
Rich Hill,2023,448179,5.572480188,5.566062927,0.006417261
Wade Miley,2023,489119,3.141282935,2.872408628,0.268874307
Patrick Corbin,2023,571578,5.2,4.596994877,0.603005123
Chris Sale,2023,519242,4.295440607,3.842407227,0.45303338
Tyler Anderson,2023,542881,5.522727273,5.03357172,0.489155553
Eduardo Rodriguez,2023,593958,3.301302675,3.011334658,0.289968017
Blake Snell,2023,605483,2.25,2.195964575,0.054035425
Julio Urías,2023,628711,4.602285795,4.15907383,0.443211965
Andrew Heaney,2023,571760,4.082916648,3.807502747,0.275413901
Kyle Freeland,2023,607536,5.029967575,4.735492706,0.294474869
Jordan Montgomery,2023,656756,3.196112471,3.028437138,0.167675333
Austin Gomber,2023,596295,5.503597122,4.943173409,0.560423713
Ranger Suárez,2023,624133,4.176,3.523172617,0.652827383
Jesús Luzardo,2023,666200,3.576485716,3.27344656,0.303039156
David Peterson,2023,656849,5.242718447,5.114564896,0.128153551
Shane McClanahan,2023,663556,3.286956522,3.044887543,0.242068979
Braxton Garrett,2023,666129,3.619141064,3.12378931,0.495351754
MacKenzie Gore,2023,669022,4.422993941,4.092178822,0.330815119
JP Sears,2023,676664,4.543529294,4.084339142,0.459190152
Brandon Williamson,2023,682227,4.461538462,4.159812927,0.301725535
Logan Allen,2023,671106,3.80586118,3.687102556,0.118758624
Andrew Abbott,2023,671096,3.868914228,3.288662195,0.580252033
